num_billet,id_festival,acheteur,prix_payé,credit_total
1001,1,alice.lefevre,716.3,436
1002,1,bernard.dubois,873.6,627
1003,1,camille.martin,561.75,535
1004,1,david.robert,295.6,132
1005,1,elodie.simon,452.8,476
1006,1,francois.leroy,602.6,652
1007,1,gabrielle.petit,487.6,542
1008,1,hugo.roux,354.8,331
1009,1,isabelle.mercier,277.75,305
1010,1,julien.girard,217.2,159
1011,1,lucie.blanc,154.55,151
1012,1,marc.henry,545.9000000000001,598
1013,1,nathalie.duval,321.6,294
1014,1,olivier.moreau,467.6,472
1015,1,pauline.roy,422.8,461
1016,1,quentin.leclerc,620.4,663
1017,1,romain.gauthier,496.0,530
1018,1,sophie.berger,309.2,265
1019,1,thomas.leroux,232.4,223
1020,1,valerie.marchand,274.4,235
1021,1,william.perrin,120.80000000000001,61
1022,1,xavier.gerard,450.0,441
1023,1,yvonne.colin,474.0,525
1024,1,zoe.chevalier,146.4,93
1025,1,adrien.royer,439.6,437
1026,1,brigitte.lacroix,232.40000000000003,169
1027,1,cedric.guillaume,810.5500000000001,971
1028,1,delphine.baron,625.6,674
1029,1,etienne.caron,496.0,530
1030,1,florence.lecomte,197.2,125
1031,1,gregoire.joly,709.75,845
1032,1,helene.renaud,167.20000000000002,101
1033,1,ivan.boulanger,476.8,506
1034,1,jocelyne.pasquier,674.0000000000001,721
1035,1,kevin.leblanc,519.6,582
1036,1,laure.fleury,522.8,541
1037,1,mohamed.benali,773.6,877
1038,1,noemie.andre,698.0,760
1039,1,oscar.leveque,386.8,416
1040,1,pascale.marty,816.8000000000001,913
1041,1,quentin.huet,508.0,545
1042,1,rachel.briand,386.0,361
1043,1,stephane.gillet,296.15000000000003,328
1044,1,tiffany.charpentier,132.0,75
1045,1,ulysse.maillard,232.4,178
1046,1,vanessa.leriche,210.0,141
1047,1,willy.moulin,456.40000000000003,503
1048,1,xena.bertin,448.0,470
1049,1,yannick.tanguy,406.8,396
1050,1,zoey.giraud,591.6,627
2001,2,alice.lefevre,693.6,732
2002,2,bernard.dubois,486.40000000000003,464
2003,2,camille.martin,696.4000000000001,803
2004,2,olea.gaston,400,380
2005,2,elodie.simon,911.2,995
2006,2,francois.leroy,776.0000000000001,808
2007,2,gabrielle.petit,651.2,706
2008,2,hugo.roux,308.0,205
2009,2,isabelle.mercier,713.2,824
2010,2,julien.girard,688.0,680
2011,2,lucie.blanc,782.0,910
2012,2,marc.henry,380.8,341
2013,2,nathalie.duval,451.04,391
2014,2,olivier.moreau,766.4000000000001,778
2015,2,pauline.roy,344.80000000000007,323
2016,2,quentin.leclerc,399.20000000000005,319
2017,2,romain.gauthier,876.0000000000001,951
2018,2,sophie.berger,533.12,472
2019,2,thomas.leroux,596.0,637
2020,2,valerie.marchand,614.24,595
2021,2,william.perrin,174.4,74
2022,2,xavier.gerard,771.52,770
2023,2,yvonne.colin,520.8000000000001,543
2024,2,zoe.chevalier,504.8,487
2025,2,adrien.royer,493.6,437
2026,2,brigitte.lacroix,349.12,242
2027,2,cedric.guillaume,242.8,236
2028,2,delphine.baron,864.6400000000001,908
2029,2,etienne.caron,909.6000000000001,993
2030,2,florence.lecomte,730.72,719
2031,2,gregoire.joly,581.2,659
2032,2,helene.renaud,744.64,758
2033,2,ivan.boulanger,705.6,738
2034,2,jocelyne.pasquier,226.72000000000003,89
2035,2,kevin.leblanc,600.8,643
2036,2,laure.fleury,430.40000000000003,358
2037,2,mohamed.benali,212.8,122
2038,2,noemie.andre,748.8000000000001,756
2039,2,oscar.leveque,789.6,879
2040,2,pascale.marty,243.84000000000003,132
2041,2,quentin.huet,514.4000000000001,499
2042,2,rachel.briand,665.12,637
2043,2,stephane.gillet,711.6,822
2044,2,tiffany.charpentier,915.2,1000
2045,2,ulysse.maillard,645.6,627
2046,2,vanessa.leriche,907.52,940
2047,2,willy.moulin,407.20000000000005,401
2048,2,xena.bertin,854.4000000000001,924
2049,2,yannick.tanguy,857.6,892
2050,2,zoey.giraud,273.6,162
2051,2,camille.ferrand,146,146
2052,2,manon.tanguy,51,51
2053,2,valérie.rossi,136,136
2054,2,alexandrie.joseph,35,35
2055,2,andrée.rossi,113,113
2056,2,gilles.dias,41,41
2057,2,éric.schmitt,142,142
2058,2,lucas.rousseau,68,68
2059,2,audrey.faivre,26,26
2060,2,paulette.lopez,73,73
2061,2,léon.gomes,37,37
2062,2,capucine.lefebvre,134,134
2063,2,élisabeth.leleu,121,121
2064,2,adrienne.noël,87,87
2065,2,andré.carre,86,86
2066,2,margot.rolland,41,41
2067,2,renée.chartier,82,82
2068,2,anastasie.rodriguez,100,100
2069,2,gabrielle.pierre,129,129
2070,2,frédéric.verdier,135,135
2071,2,louise.carre,113,113
2072,2,virginie.munoz,50,50
2073,2,claire.lombard,20,20
2074,2,patrick.jacquet,90,90
2075,2,antoinette.hamel,94,94
2076,2,michelle.bousquet,69,69
2077,2,monique.weiss,118,118
2078,2,georges.garnier,38,38
2079,2,antoinette.laurent,61,61
2080,2,françoise.lucas,26,26
2081,2,rené.laporte,49,49
2082,2,robert.blanc,48,48
2083,2,daniel.gaudin,63,63
2084,2,gérard.guillet,116,116
2085,2,adèle.jean,93,93
2086,2,jules.charles,30,30
2087,2,michelle.weber,102,102
2088,2,corinne.gomez,72,72
2089,2,alice.cousin,105,105
2090,2,zacharie.dupont,31,31
2091,2,noémi.martineau,136,136
2092,2,hortense.pasquier,139,139
2093,2,sébastien.albert,137,137
2094,2,alix.jacquet,135,135
2095,2,alexandria.reynaud,29,29
2096,2,suzanne.rodrigues,113,113
2097,2,mathilde.nicolas,123,123
2098,2,aurore.hoarau,73,73
2099,2,benjamin.lopes,87,87
2100,2,zacharie.paul,107,107
2101,2,claire.vidal,107,107
2102,2,lucas.dupuy,94,94
2103,2,hélène.labbé,42,42
2104,2,michelle.giraud,98,98
2105,2,colette.lebreton,113,113
2106,2,suzanne.gillet,43,43
2107,2,juliette.dufour,61,61
2108,2,adélaïde.renault,132,132
2109,2,jeannine.faivre,140,140
2110,2,odette.gros,136,136
2111,2,zacharie.marchand,49,49
2112,2,joséphine.teixeira,45,45
2113,2,louis.lacroix,104,104
2114,2,augustin.hernandez,91,91
2115,2,pierre.valentin,120,120
2116,2,julie.morin,84,84
2117,2,jeannine.bouvet,34,34
2118,2,margaret.foucher,41,41
2119,2,laetitia.boulay,29,29
2120,2,christine.descamps,42,42
2121,2,édouard.besson,84,84
2122,2,monique.étienne,107,107
2123,2,océane.legendre,87,87
2124,2,alfred.leroux,134,134
2125,2,agathe.ferrand,149,149
2126,2,suzanne.le roux,32,32
2127,2,laurent.gay,62,62
2128,2,théodore.langlois,120,120
2129,2,anastasie.roux,57,57
2130,2,suzanne.lenoir,144,144
2131,2,zoé.duhamel,86,86
2132,2,philippine.le gall,84,84
2133,2,michelle.labbé,83,83
2134,2,julie.hoareau,84,84
2135,2,cécile.hubert,114,114
2136,2,alfred.bouchet,49,49
2137,2,margot.jourdan,127,127
2138,2,alphonse.valentin,107,107
2139,2,thibault.hoarau,80,80
2140,2,roger.maury,81,81
2141,2,alix.robert,120,120
2142,2,hugues.vasseur,54,54
2143,2,julie.valette,40,40
2144,2,lucie.lucas,108,108
2145,2,christophe.colin,133,133
2146,2,laurent.toussaint,32,32
2147,2,bernadette.lebreton,22,22
2148,2,victoire.carre,82,82
2149,2,isaac.millet,97,97
2150,2,philippe.caron,32,32
2151,2,céline.lenoir,32,32
2152,2,daniel.voisin,101,101
2153,2,océane.normand,105,105
2154,2,thibault.regnier,107,107
2155,2,élise.brunel,150,150
2156,2,manon.lefort,100,100
2157,2,benoît.lopez,134,134
2158,2,dorothée.delmas,115,115
2159,2,david.turpin,87,87
2160,2,pénélope.thibault,38,38
2161,2,olivier.lacombe,84,84
2162,2,margaret.jacques,80,80
2163,2,agathe.lecoq,50,50
2164,2,margot.roussel,102,102
2165,2,bernard.renard,102,102
2166,2,émile.simon,90,90
2167,2,arnaude.dupont,34,34
2168,2,patricia.duhamel,49,49
2169,2,lucy.vallée,21,21
2170,2,madeleine.breton,150,150
2171,2,caroline.giraud,146,146
2172,2,nicolas.richard,50,50
2173,2,alexandrie.lambert,145,145
2174,2,thibaut.lombard,71,71
2175,2,thibault.pires,62,62
2176,2,luce.munoz,72,72
2177,2,philippe.toussaint,150,150
2178,2,noémi.gimenez,102,102
2179,2,célina.lombard,142,142
2180,2,victoire.masson,22,22
2181,2,grégoire.monnier,23,23
2182,2,auguste.renault,138,138
2183,2,isabelle.pruvost,57,57
2184,2,marc.roche,107,107
2185,2,claude.vaillant,53,53
2186,2,adélaïde.barre,35,35
2187,2,martine.voisin,77,77
2188,2,audrey.dupuis,125,125
2189,2,jacqueline.moulin,42,42
2190,2,alice.albert,87,87
2191,2,stéphane.dumont,114,114
2192,2,franck.lopes,58,58
2193,2,susan.bouvier,21,21
2194,2,josette.leduc,145,145
2195,2,élodie.ferreira,85,85
2196,2,stéphane.lucas,110,110
2197,2,capucine.wagner,39,39
2198,2,marianne.legros,129,129
2199,2,gabrielle.vallée,132,132
2200,2,adélaïde.baudry,113,113
2201,2,isaac.chauvet,98,98
2202,2,françoise.perrier,103,103
2203,2,aurore.morin,132,132
2204,2,claude.hoareau,54,54
2205,2,roland.maréchal,58,58
2206,2,hortense.riou,23,23
2207,2,susan.hamel,59,59
2208,2,hugues.roussel,95,95
2209,2,arnaude.lejeune,134,134
2210,2,françois.rey,36,36
2211,2,henriette.turpin,118,118
2212,2,olivier.blanchard,127,127
