usr_login,usr_mdp,nom,prenom,est_etudiant,est_retraite
alice.lefevre,mdp123,Lefèvre,Alice,TRUE,FALSE
bernard.dubois,azerty,Dubois,Bernard,FALSE,TRUE
camille.martin,motdepasse,Martin,Camille,TRUE,FALSE
david.robert,password,Robert,David,FALSE,FALSE
elodie.simon,simon2023,Simon,Élodie,TRUE,FALSE
francois.leroy,leroy456,Leroy,François,FALSE,TRUE
gabrielle.petit,petit789,Petit,Gabrielle,TRUE,FALSE
hugo.roux,roux101,Roux,Hugo,FALSE,FALSE
isabelle.mercier,mercier111,Mercier,Isabelle,FALSE,TRUE
julien.girard,girard222,Girard,Julien,TRUE,FALSE
lucie.blanc,blanc333,Blanc,Lucie,TRUE,FALSE
marc.henry,henry444,Henry,Marc,FALSE,FALSE
nathalie.duval,duval555,Duval,Nathalie,FALSE,TRUE
olivier.moreau,moreau666,Moreau,Olivier,FALSE,FALSE
pauline.roy,roy777,Roy,Pauline,TRUE,FALSE
quentin.leclerc,leclerc888,Leclerc,Quentin,TRUE,FALSE
romain.gauthier,gauthier999,Gauthier,Romain,FALSE,FALSE
sophie.berger,berger000,Berger,Sophie,FALSE,TRUE
thomas.leroux,leroux111,Leroux,Thomas,FALSE,FALSE
valerie.marchand,marchand222,Marchand,Valérie,FALSE,TRUE
william.perrin,perrin333,Perrin,William,FALSE,FALSE
xavier.gerard,gerard444,Gérard,Xavier,FALSE,TRUE
soso.lp,sosolatess142,Sophie,LaPleine,FALSE,TRUE
yvonne.colin,colin555,Colin,Yvonne,FALSE,TRUE
zoe.chevalier,chevalier666,Chevalier,Zoé,TRUE,FALSE
adrien.royer,royer777,Royer,Adrien,TRUE,FALSE
brigitte.lacroix,lacroix888,Lacroix,Brigitte,FALSE,TRUE
cedric.guillaume,guillaume999,Guillaume,Cédric,FALSE,FALSE
delphine.baron,baron000,Baron,Delphine,FALSE,TRUE
etienne.caron,caron111,Caron,Étienne,FALSE,FALSE
florence.lecomte,lecomte222,Lecomte,Florence,FALSE,TRUE
gregoire.joly,joly333,Joly,Grégoire,FALSE,FALSE
helene.renaud,renaud444,Renaud,Hélène,FALSE,TRUE
ivan.boulanger,boulanger555,Boulanger,Ivan,FALSE,FALSE
jocelyne.pasquier,pasquier666,Pasquier,Jocelyne,FALSE,TRUE
kevin.leblanc,leblanc777,Leblanc,Kévin,TRUE,FALSE
laure.fleury,fleury888,Fleury,Laure,TRUE,FALSE
mohamed.benali,benali999,Benali,Mohamed,FALSE,FALSE
noemie.andre,andre000,André,Noémie,TRUE,FALSE
oscar.leveque,leveque111,Lévêque,Oscar,FALSE,FALSE
pascale.marty,marty222,Marty,Pascale,FALSE,TRUE
quentin.huet,huet333,Huet,Quentin,TRUE,FALSE
rachel.briand,briand444,Briand,Rachel,FALSE,TRUE
